branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_134	369	370	4.509483669	1	1	0	0	0	0	0	1	1	Carnivore	Omnivore	Omnivore	Node370	Node369	1
branch_135	370	61	3.609767989	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Monodon_monoceros	Node370	0
branch_136	370	62	3.609767989	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Delphinapterus_leucas	Node370	0
branch_137	369	371	3.9681331825	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node371	Node369	0
branch_138	371	63	4.151118975	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Phocoena_phocoena	Node371	0
branch_139	371	64	4.151119391	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Phocoena_sinus	Node371	0
branch_140	368	372	4.276413662	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node372	Node368	0
branch_141	372	65	5.632751069	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Orcinus_orca	Node372	0
branch_142	372	373	1.051900108	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node373	Node372	0
branch_143	373	374	2.3004030713	1	1	0	0	0	0	0	1	1	Carnivore	Omnivore	Omnivore	Node374	Node373	1
branch_144	374	66	2.280446808	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Grampus_griseus	Node374	0
branch_145	374	375	0.3624744527	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node375	Node374	0
branch_146	375	67	1.917972563	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Pseudorca_crassidens	Node375	0
branch_147	375	68	1.9179721474	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Peponocephala_electra	Node375	0
branch_148	373	376	2.1746311072	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Node376	Node373	0
branch_149	376	69	2.406218939	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Tursiops_truncatus	Node376	0
branch_150	376	70	2.4062188553	1	1	0	0	0	0	0	1	1	Carnivore	Insectivore	Insectivore	Delphinus_delphis	Node376	1
branch_151	367	71	12.5958901296	1	1	0	0	0	0	0	1	1	Carnivore	Carnivore	Carnivore	Inia_geoffrensis	Node367	0
branch_152	366	72	15.8725151295	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Mesoplodon_densirostris	Node366	0
branch_153	365	377	12.005033977	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node377	Node365	0
branch_154	377	73	6.273290883	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Kogia_sima	Node377	0
branch_155	377	74	6.273290883	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Kogia_breviceps	Node377	0
branch_156	364	378	6.709930092	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node378	Node364	0
branch_157	378	379	8.6357841556	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node379	Node378	0
branch_158	379	75	4.073444853	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Eubalaena_glacialis	Node379	0
branch_159	379	380	1.6084683305	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node380	Node379	0
branch_160	380	76	2.46497673	1	1	0	0	0	0	0	1	1	Insectivore	Omnivore	Omnivore	Balaenoptera_physalus	Node380	1
branch_161	380	381	0.3307731221	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node381	Node380	0
branch_162	381	77	2.134203483	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Balaenoptera_musculus	Node381	0
branch_163	381	78	2.1342031506	1	1	0	0	0	0	0	1	1	Insectivore	Omnivore	Omnivore	Balaenoptera_edeni	Node381	1
branch_164	378	382	7.4853137536	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node382	Node378	0
branch_165	382	79	5.22391384	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Eschrichtius_robustus	Node382	0
branch_166	382	80	5.22391384	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Megaptera_novaeangliae	Node382	0
branch_167	363	383	28.6091079512	2	1	-1	0	1	0	1	2	1	Plant_dominant	Plant_dominant	Plant_dominant	Node383	Node363	0
branch_168	383	384	9.883316837	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node384	Node383	0
branch_169	384	385	0.5609925319	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node385	Node384	0
branch_170	385	386	2.61176095	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node386	Node385	0
branch_171	386	387	1.039593509	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node387	Node386	0
branch_172	387	81	5.58263927	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Dama_dama	Node387	0
branch_173	387	388	3.9975276387	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node388	Node387	0
branch_174	388	82	1.58511188	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Cervus_nippon	Node388	0
branch_175	388	83	1.58511188	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Cervus_elaphus	Node388	0
branch_176	386	84	6.6222327777	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Axis_porcinus	Node386	0
branch_177	385	389	6.4943431703	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node389	Node385	0
branch_178	389	85	2.7396507238	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Muntiacus_gongshanensis	Node389	0
branch_179	389	86	2.739650475	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Muntiacus_crinifrons	Node389	0
branch_180	384	87	9.794986259	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Capreolus_capreolus	Node384	0
branch_181	383	390	0.5018927286	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node390	Node383	0
branch_182	390	391	1.917511139	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node391	Node390	0
branch_183	391	392	14.8752793643	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node392	Node391	0
branch_184	392	393	1.194244416	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node393	Node392	0
branch_185	393	88	1.1893748251	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Bos_taurus	Node393	0
branch_186	393	89	1.1893747835	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Bos_javanicus	Node393	0
branch_187	392	90	2.383619116	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Bison_bonasus	Node392	0
branch_188	391	394	7.8328542326	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node394	Node391	0
branch_189	394	91	9.42604458	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Pantholops_hodgsonii	Node394	0
branch_190	394	395	0.997600536	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node395	Node394	0
branch_191	395	396	0.4546572393	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node396	Node395	0
branch_192	396	397	0.394887018	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node397	Node396	0
branch_193	397	398	0.9762826333	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node398	Node397	0
branch_194	398	399	3.427757803	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node399	Node398	0
branch_195	399	400	0.6628987303	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node400	Node399	0
branch_196	400	92	2.5119625758	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Capra_nubiana	Node400	0
branch_197	400	93	2.5119629918	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Capra_hircus	Node400	0
branch_198	399	94	3.174861306	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Capra_ibex	Node399	0
branch_199	398	95	6.6026206905	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Budorcas_taxicolor	Node398	0
branch_200	397	401	4.422687984	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node401	Node397	0
branch_201	401	96	3.1562133421	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Ovis_canadensis	Node401	0
