Scientific	BodyMass-Value
Galictis cuja	1000
Galictis vittata	3200
Gulo gulo	17012.56
Ictonyx striatus	1299.99
Ictonyx libyca	2062.5
Lyncodon patagonicus	225
Martes flavigula	1842.5
Martes foina	1540.8
Martes gwatkinsii	2043
Martes martes	1300
Martes melampus	1000
Martes pennanti	4000
Martes zibellina	1130
Martes americana	1250
Meles meles	13000
Meles leucurus	13000
Meles anakuma	13000
Mellivora capensis	8500
Melogale everetti	1500
Melogale moschata	805.25
Melogale orientalis	2000
Melogale personata	1702.5
Neovison vison	1150
Neovison macrodon	1150
Poecilogale albinucha	340
Taxidea taxus	7107.55
Vormela peregusna	450.38
Aonyx capensis	18999.84
Aonyx cinerea	3527.59
Enhydra lutris	23500
Hydrictis maculicollis	4180.53
Lontra provocax	7499.98
Lontra canadensis	8087.42
Lontra felina	30600
Lontra longicaudis	6554.96
Lutra nippon	6951.14
Lutra sumatrana	5500
Lutra lutra	8785.14
Lutrogale perspicillata	9483.33
Pteronura brasiliensis	23999.93
Ailuropoda melanoleuca	108400
Helarctos malayanus	46500
Melursus ursinus	93130
Tremarctos ornatus	140000.63
Ursus americanus	99949.36
Ursus arctos	180520.42
Ursus maritimus	388750.36
Ursus thibetanus	77500
Arctocephalus philippii	95000
Arctocephalus australis	45000
Arctocephalus gazella	97500
Arctocephalus pusillus	178500
Arctocephalus townsendi	105000
Arctocephalus tropicalis	84000
Arctocephalus galapagoensis	27000
Arctocephalus forsteri	101250
Callorhinus ursinus	45133
Eumetopias jubatus	310000
Neophoca cinerea	190000
Otaria flavescens	193670.53
Phocarctos hookeri	112300
Zalophus californianus	80000
Zalophus japonicus	80000
Zalophus wollebaeki	80000
Conepatus chinga	1917.52
Conepatus humboldtii	328
Conepatus leuconotus	3500.02
Conepatus semistriatus	1200
Mephitis macroura	801.25
Mephitis mephitis	2085.02
Mydaus javanensis	2500
Mydaus marchei	1414.2
Spilogale angustifrons	334.37
Spilogale gracilis	466.5
Spilogale putorius	341
Spilogale pygmaea	235
Spilogale aquaticus	283.08
Bassaricyon alleni	1235.01
Bassaricyon beddardi	1235.01
Bassaricyon gabbii	1250
Bassaricyon lasius	1200
Bassaricyon pauli	1200
Bassariscus astutus	1129.51
Bassariscus sumichrasti	899.99
Nasua nasua	3793.85
Nasua narica	4030.05
Nasuella olivacea	1339.99
Potos flavus	3000
Procyon cancrivorus	6949.92
Procyon lotor	5524.97
Procyon pygmaeus	2500
Ailurus fulgens	4900
Equus burchellii	276000
Equus quagga	400000
Equus zebra	286998.75
Equus kiang	275000
Equus caballus	250000
Equus asinus	244999.25
Equus grevyi	407999.85
Equus hemionus	240000
Tapirus bairdii	299999.13
Tapirus indicus	296250
Tapirus pinchaque	148949.83
Tapirus terrestris	207500.91
Ceratotherium simum	2949986.31
Dicerorhinus sumatrensis	1266667
Diceros bicornis	1180510.9
Rhinoceros sondaicus	1750000
Rhinoceros unicornis	1602333
Sus celebensis	55000
Sus ahoenobarbus	73569.74
Sus verrucosus	81250
Sus scrofa	96118.09
Sus salvanius	7718
Sus oliveri	73569.74
Sus cebifrons	190792.3
Sus bucculentus	81648.19
Sus barbatus	96666.67
Sus philippensis	190792.3
Babyrousa babyrussa	100000
Babyrousa togeanensis	100000
Babyrousa celebensis	100000
Babyrousa bolabatuensis	100000
Phacochoerus africanus	82500
Phacochoerus aethiopicus	71000.27
Hylochoerus meinertzhageni	188500
Potamochoerus larvatus	48781.25
Potamochoerus porcus	70000.32
Catagonus wagneri	35566.41
Pecari tajacu	21266.69
Tayassu pecari	32233.69
Hexaprotodon liberiensis	235001.16
Hippopotamus amphibius	1417489.99
Camelus bactrianus	690000
Camelus dromedarius	601000
Lama glama	142500
Vicugna vicugna	47499.61
Neotragus moschatus	6499.95
Neotragus pygmaeus	4000
Neotragus batesi	2999.99
Oreotragus oreotragus	12999.9
Ammodorcas clarkei	28049.81
Antidorcas marsupialis	31500
Antilope cervicapra	37500
Dorcatragus megalotis	10249.91
Eudorcas rufina	40000
Eudorcas thomsonii	22907.43
Eudorcas rufifrons	26999.77
Gazella subgutturosa	28500
Gazella spekei	20000
Gazella erlangeri	20360.12
Gazella gazella	22749.93
Gazella dorcas	23000.11
Gazella arabica	12000
Gazella cuvieri	25000
Gazella saudiya	16000
Gazella leptoceros	22200
Gazella bennettii	18916.67
Litocranius walleri	37999.69
Madoqua kirkii	5300.05
Madoqua saltiana	3249.97
Madoqua piacentinii	2500
Madoqua guentheri	7499.98
Nanger granti	55464.46
Nanger soemmerringii	41582.93
Nanger dama	71424.81
Ourebia ourebi	17250.04
Procapra gutturosa	27750
Procapra przewalskii	27500
Procapra picticaudata	20000
Raphicerus melanotis	10249.91
Raphicerus sharpei	9499.92
Raphicerus campestris	10500.02
Saiga borealis	29000
Saiga tatarica	29000
Taurotragus oryx	569993.63
Taurotragus derbianus	680000
Tetracerus quadricornis	19000
Tragelaphus eurycerus	329003.11
Tragelaphus scriptus	43250.39
Tragelaphus strepsiceros	213501.04
Tragelaphus angasii	86600.42
Tragelaphus imberbis	81575.55
Tragelaphus buxtoni	215000.76
Tragelaphus spekii	77999.17
Bison bonasus	500000
Bison bison	579255.28
Bos frontalis	800000
Bos grunniens	416500
Bos taurus	900000
Bos sauveli	800000
Bos javanicus	625000
Boselaphus tragocamelus	169000
Bubalus bubalis	431250
Bubalus quarlesi	150000
Bubalus mindorensis	233333.33
Bubalus depressicornis	300000
Pseudoryx nghetinhensis	97842.2
Syncerus caffer	580002.68
Kobus kob	78500.06
Kobus leche	110749.05
Kobus megaceros	87500.39
Kobus vardonii	71500.65
Kobus ellipsiprymnus	210000.34
Pelea capreolus	20000
Redunca arundinum	58000.27
Redunca fulvorufula	29499.86
Redunca redunca	44050.41
Aepyceros melampus	52500.08
Alcelaphus caama	176115.97
Alcelaphus lichtensteinii	168695.66
Alcelaphus buselaphus	171001.53
Beatragus hunteri	79132.17
Connochaetes taurinus	179998.96
Connochaetes gnou	179998.96
Damaliscus pygargus	102000
Damaliscus superstes	120837.92
Damaliscus lunatus	136000.34
Damaliscus korrigum	127194.87
Ammotragus lervia	48000
Budorcas taxicolor	302000
Capra hircus	54250
Capra falconeri	41000
Capra ibex	85166.51
Capra caucasica	55000
Capra nubiana	62624.84
Capra pyrenaica	50000
Capra sibirica	130000
Capra walie	100000
Capricornis swinhoei	69093.52
Capricornis milneedwardsii	69093.52
Capricornis sumatraensis	110942.22
Capricornis rubidus	69093.52
Capricornis crispus	43030.64
Capricornis thar	69093.52
Hemitragus jayakari	23000
Hemitragus hylocrius	75000
Hemitragus jemlahicus	35200
Naemorhedus caudatus	27000
Naemorhedus goral	28500
Naemorhedus griseus	27655.49
Naemorhedus baileyi	27487.5
Oreamnos americanus	72500.33
Ovibos moschatus	340501.06
Ovis canadensis	74644.88
Ovis nivicola	90000
Ovis dalli	55650.62
Ovis aries	50000
Ovis ammon	180000
Pantholops hodgsonii	27500
Pseudois schaeferi	29250
Pseudois nayaur	45000
Rupicapra pyrenaica	30000
Rupicapra rupicapra	26100
Cephalophus rufilatus	11999.97
Cephalophus zebra	17500.08
Cephalophus weynsi	17000
Cephalophus silvicultor	72500.33
Cephalophus ogilbyi	20000
Cephalophus nigrifrons	13899.85
Cephalophus natalensis	11999.97
Cephalophus leucogaster	12699.89
Cephalophus adersi	9249.96
Cephalophus jentinki	70000.32
Cephalophus brookei	20863.36
Cephalophus dorsalis	20000
Cephalophus callipygus	18249.88
Cephalophus niger	20399.99
Cephalophus spadix	56000.25
Philantomba maxwellii	8557.69
Philantomba monticola	4896.05
Sylvicapra grimmia	19499.79
Addax nasomaculatus	70000.32
Hippotragus equinus	269997.66
Hippotragus leucophaeus	150000
Hippotragus niger	227499.27
Oryx leucoryx	87700
Oryx beisa	200576.52
Oryx dammah	200000
Oryx gazella	169001.28
Hyemoschus aquaticus	10850.01
Moschiola meminna	2938.14
Tragulus versicolor	3706.24
Tragulus williamsoni	3706.24
Tragulus nigricans	3706.24
Tragulus napu	4950
Tragulus kanchil	3706.24
Tragulus javanicus	2775
Moschus cupreus	2145.93
Moschus chrysogaster	14500
Moschus anhuiensis	2145.93
Moschus moschiferus	13000
Moschus leucogaster	2145.93
Moschus fuscus	12.5
Moschus berezovskii	9000
Alces americanus	541460.44
Alces alces	356998.16
Blastocerus dichotomus	86666.25
Capreolus pygargus	43752.21
Capreolus capreolus	22500
Hippocamelus bisulcus	70000.32
Hippocamelus antisensis	68599.35
Mazama rufina	25999.8
Mazama americana	22799.75
Mazama bororo	18809.87
Mazama bricenii	16499.85
Mazama chunyi	16499.85
Mazama gouazoubira	16633.17
Mazama pandora	18809.87
Mazama temama	18809.87
Mazama nana	16499.85
Odocoileus hemionus	54212.57
Odocoileus virginianus	55508.56
Ozotoceros bezoarticus	40000
Pudu mephistophiles	9599.97
Pudu puda	9749.9
Rangifer tarandus	86033.98
Axis kuhlii	55000
Axis calamianensis	40500
Axis porcinus	34418.5
Axis axis	67281.85
Cervus elaphus	165015.85
Cervus nippon	53000
Dama dama	52375
Elaphodus cephalophus	33500
Elaphurus davidianus	149000
Muntiacus feae	22000
Muntiacus crinifrons	36140.99
Muntiacus gongshanensis	19906.73
Muntiacus muntjak	15925.79
Muntiacus vuquangensis	36690.82
Muntiacus putaoensis	19506.63
Muntiacus atherodes	15600
Muntiacus reevesi	13500
Muntiacus rooseveltorum	10762.64
Muntiacus truongsonensis	19506.63
Muntiacus puhoatensis	19506.63
Przewalskium albirostris	161681.9
Rucervus schomburgki	107626.42
Rucervus eldii	95471.61
Rucervus duvaucelii	171223.86
Rusa unicolor	177522.9
Rusa alfredi	46475.04
Rusa marianna	49457.61
Rusa timorensis	66375.5
Hydropotes inermis	14000
Antilocapra americana	46082.92
Giraffa camelopardalis	899994.8
Okapia johnstoni	230001.15
Balaena mysticetus	100000000
Eubalaena australis	23000000
Eubalaena glacialis	23000000
Eubalaena japonica	23000000
Balaenoptera physalus	70000000
Balaenoptera acutorostrata	10000000
Balaenoptera bonaerensis	35089915.83
Balaenoptera borealis	20000000
Balaenoptera edeni	20000000
Balaenoptera musculus	190000000
Megaptera novaeangliae	30000000
Eschrichtius robustus	28500000
Caperea marginata	32000000
Cephalorhynchus commersonii	72400
Cephalorhynchus eutropia 	45000
Cephalorhynchus heavisidii	40000
Cephalorhynchus hectori	50000
Delphinus capensis	80000
Delphinus delphis	80000
Feresa attenuata	170000
Globicephala macrorhynchus	726000
Globicephala melas	800000
Grampus griseus	387500
Lagenodelphis hosei	164000
Lagenorhynchus albirostris	180000
Lagenorhynchus australis	120000
Lagenorhynchus cruciger	110000
Lagenorhynchus obliquidens	120000
Lagenorhynchus obscurus	127500
Lagenorhynchus acutus	182000
Lissodelphis borealis	113000
Lissodelphis peronii	116000
Orcaella brevirostris	190000
Orcinus orca	4300000
Peponocephala electra	206000
Pseudorca crassidens	1360000
Sotalia fluviatilis	60000
Sousa chinensis	280000
Sousa teuszii	100000
Stenella attenuata	57400
Stenella longirostris	50500
Stenella frontalis	110000
Stenella coeruleoalba	135900
Stenella clymene	68000
Tursiops aduncus	175000
Tursiops truncatus	175000
Steno bredanensis	130000
Delphinapterus leucas	1360000
Monodon monoceros	900000
Neophocaena phocaenoides	32500
Phocoena dioptrica	65000
Phocoena phocoena	52500
Phocoena sinus	42500
Phocoena spinipinnis	60000
Phocoenoides dalli	102500
Tasmacetus shepherdi	2500000
Ziphius cavirostris	4775000
Berardius bairdii	11380000
Berardius arnuxii	7000000
Hyperoodon ampullatus	5800000
Hyperoodon planifrons	3000000
Indopacetus pacificus	2200000
Mesoplodon carlhubbsi	3400000
Mesoplodon stejnegeri	4800000
Mesoplodon peruvianus	2514984.32
Mesoplodon perrini	2514984.32
Mesoplodon mirus	2100000
Mesoplodon layardii	1500000
Mesoplodon hectori	1000000
Mesoplodon grayi	2900000
Mesoplodon ginkgodens	1500000
Mesoplodon bidens	3400000
Mesoplodon densirostris	2300000
Mesoplodon bowdoini	2600000
Mesoplodon traversii	2514984.32
Mesoplodon europaeus	5600000
Kogia breviceps	431500
Kogia sima	183066.66
Physeter catodon	14025000
Platanista gangetica	115000
Platanista minor	83914.59
Inia geoffrensis	129250
Lipotes vexillifer	83500
Pontoporia blainvillei	40500
Crocidura lasiura	14.8
	
	
	
Tenrec ecaudatus	868
Amblysomus hottentotus	52.6
Rhynchocyon petersi	424
Orycteropus afer	52350.4
Heterohyrax brucei	2625
Loxodonta africana	3940034.28
Dugong dugon	310000
Trichechus inunguis	480000
Dasypus novemcinctus	4203.78
Bradypus torquatus	3899.96
Choloepus didactylus	5160
Myrmecophaga tridactyla	22333.15
Tamandua tetradactyla	5515.06
Tupaia tana	197.83
Cynocephalus volans	1250
Microcebus murinus	69
Lemur catta	2900
Daubentonia madagascariensis	2500
Loris tardigradus	227.67
Nycticebus coucang	803.5
Nycticebus bengalensis	1137.36
Saguinus midas	540
Saguinus oedipus	430
Callithrix jacchus	292
Leontopithecus rosalia	535.5
Cebus albifrons	2629
Saimiri boliviensis	615.01
Ateles geoffroyi	5284.94
Ateles hybridus	6394.85
Ateles fusciceps	9100
Brachyteles arachnoides	13499.88
Macaca mulatta	3713
Macaca nemestrina	6296.5
Macaca nigra	6400
Macaca fascicularis	3991.5
Macaca cyclopis	6000
Macaca assamensis	12000
Macaca silenus	4750
Chlorocebus sabaeus	4993
Erythrocebus patas	8090
Papio hamadryas	21250.05
Papio anubis	17728.56
Colobus guereza	10600
Rhinopithecus bieti	11000.54
Rhinopithecus roxellana	13456.8
Trachypithecus shortridgei	8516.46
Trachypithecus germaini	8516.46
Trachypithecus francoisi	7325
Hylobates pileatus	5440
Nomascus leucogenys	7320
Symphalangus syndactylus	10839
Gorilla gorilla	131625.52
Pan paniscus	34000.08
Pan troglodytes	42500
Pongo abelii	39696.12
Pongo pygmaeus	37000
Sciurus carolinensis	506.5
Sciurus vulgaris	333
Pteromys volans	143.75
Spermophilus citellus	290
Cynomys ludovicianus	1364
Cynomys gunnisoni	925
Marmota monax	3801.72
Marmota himalayana	5000
Marmota flaviventris	3349.96
Tamias sibiricus	85
Eliomys quercinus	115
Geomys bursarius	203.75
Thomomys bottae	114.75
Castor canadensis	21820
Castor fiber	19000
Dipodomys spectabilis	135.88
Dipodomys merriami	42
Salpingotus crassicauda	13.1
Dipus sagitta	85.65
Jaculus jaculus	56.55
Microtus californicus	57.42
Microtus agrestis	42.5
Microtus pennsylvanicus	36.75
Microtus oregoni	20.35
Arvicola amphibius	120
Chionomys nivalis	54
Lasiopodomys mandarinus	47.48
Lasiopodomys brandtii	93.82
Lemmus lemmus	47.5
Ondatra zibethicus	1065.75
Neotoma floridana	244.75
Onychomys arenicola	30
Onychomys leucogaster	27.92
Onychomys torridus	24.97
Peromyscus eremicus	23.65
Peromyscus leucopus	21.17
Scotinomys teguina	11.25
Sigmodon hispidus	92.38
Cricetus cricetus	510
Mesocricetus auratus	105
Phodopus roborovskii	18.75
Phodopus sungorus	33.75
Acomys minous	62.5
Acomys percivali	22
Acomys russatus	49.75
Acomys kempi	22
Acomys dimidiatus	28.81
Acomys cahirinus	52.45
Psammomys obesus	149.58
Meriones unguiculatus	53.3
Pachyuromys duprasi	47.5
Apodemus agrarius	23.3
Apodemus speciosus	33.8
Apodemus sylvaticus	30.45
Arvicanthis niloticus	106.9
Mastacomys fuscus	125.72
Micromys minutus	6
Mus musculus	16.25
Mus spretus	12.8
Mus minutoides	7.01
Pseudomys desertor	25
Rattus norvegicus	338.33
Rattus rattus	229.13
Rhabdomys pumilio	41.12
Rhynchomys soricoides	187
Tokudaia muenninki	177.4
Uromys caudimaculatus	606.75
Typhlomys cinereus	31.2
Eospalax fontanierii	256.76
Myospalax psilurus	259.21
Ctenodactylus gundi	289
Ochotona princeps	157.63
Ochotona argentata	142.15
Lepus timidus	3048
Lepus tolai	1589
Lepus castroviejoi	2822.41
Lepus europaeus	3740
Lepus oiostolus	3000
Lepus capensis	3261.67
Lepus yarkandensis	1460.41
Sylvilagus floridanus	1172.79
Oryctolagus cuniculus	1832.22
Crocidura zimmermanni	10.35
Suncus murinus	60.71
Suncus etruscus	2.13
Scutisorex somereni	91.5
Sorex fumeus	7.7
Sorex ornatus	4.99
Scaptochirus moschatus	90.51
Talpa occidentalis	53.5
Talpa europaea	77
Cynopterus sphinx	43.66
Pteropus alecto	643.57
Pteropus pselaphon	282.86
Rousettus leschenaultii	84.88
Rousettus aegyptiacus	132.24
Rhinolophus rex	10.4
Rhinolophus trifoliatus	14.53
Rhinolophus sinicus	10.62
Rhinolophus affinis	13.63
Rhinolophus clivosus	15.66
Rhinolophus ferrumequinum	21.06
Rhinolophus hipposideros	4.71
Aselliscus stoliczkanus	4.9
Hipposideros larvatus	19.85
Megaderma spasma	25.38
Macroderma gigas	126.43
Rhinopoma microphyllum	27.87
Macrotus californicus	11.63
Micronycteris microtis	6.5
Phyllostomus hastatus	87.21
Phyllostomus discolor	34.13
Artibeus jamaicensis	42.17
Artibeus lituratus	60.54
Platyrrhinus helleri	13.5
Desmodus rotundus	31.21
Anoura caudifer	10.81
Rhynchonycteris naso	3.83
Saccopteryx leptura	4.72
Saccopteryx bilineata	7.8
Mops condylurus	28.37
Molossus molossus	13.58
Tadarida teniotis	27.04
Tadarida brasiliensis	12.49
Eptesicus fuscus	16.46
Pipistrellus nathusii	7.31
Pipistrellus pipistrellus	5.69
Pipistrellus pygmaeus	5.28
Pipistrellus abramus	5.87
Nyctalus aviator	21.85
Nyctalus leisleri	13.28
Corynorhinus townsendii	10.3
Plecotus auritus	7.83
Ia io	49.2
Vespertilio murinus	18.7
Antrozous pallidus	20.8
Myotis nesopolus	3.5
Myotis nattereri	7.14
Myotis mystacinus	4.99
Myotis yumanensis	5.39
Myotis emarginatus	7.66
Myotis daubentonii	7.63
Miniopterus schreibersii	11.46
Manis pentadactyla	4675
Manis javanica	5150
Acinonyx jubatus	46700
Felis catus	2884.8
Felis chaus	7392.98
Lynx rufus	8904.1
Lynx canadensis	9373.25
Prionailurus bengalensis	3300
Prionailurus viverrinus	9140.33
Puma concolor	51600.04
Neofelis nebulosa	19675.75
Panthera leo	161499.06
Panthera tigris	162564
Panthera onca	100000
Panthera pardus	52038.22
Paguma larvata	4300
Hyaena hyaena	41705.11
Vulpes vulpes	5476.17
Vulpes corsac	2400
Vulpes ferrilata	5000
Vulpes lagopus	3584.37
Canis aureus	10345.23
Canis latrans	13406.33
Canis lupus	32183.33
Lycaon pictus	22050.07
Nyctereutes procyonoides	4040
Otocyon megalotis	4150.02
Urocyon cinereoargenteus	3833.72
Hydrurga leptonyx	360000
Mirounga leonina	1600000
Monachus monachus	292500
Phoca vitulina	100000
Mustela erminea	119.38
Mustela nivalis	103.88
Mustela lutreola	440
Eira barbara	3910.03
Martes flavigula	1842.5
Martes foina	1540.8
Martes martes	1300
Meles meles	13000
Lontra canadensis	8087.42
Lutra lutra	8785.14
Ailuropoda melanoleuca	108400
Ursus americanus	99949.36
Ursus arctos	180520.42
Ursus maritimus	388750.36
Arctocephalus gazella	97500
Eumetopias jubatus	310000
Zalophus californianus	80000
Mephitis mephitis	2085.02
Equus kiang	275000
Equus caballus	250000
Tapirus indicus	296250
Sus scrofa	96118.09
Phacochoerus africanus	82500
Camelus dromedarius	601000
Bison bonasus	500000
Bos taurus	900000
Bos javanicus	625000
Budorcas taxicolor	302000
Capra hircus	54250
Capra ibex	85166.51
Capra nubiana	62624.84
Capricornis sumatraensis	110942.22
Ovis canadensis	74644.88
Ovis aries	50000
Pantholops hodgsonii	27500
Rupicapra rupicapra	26100
Moschus berezovskii	9000
Capreolus capreolus	22500
Axis porcinus	34418.5
Cervus elaphus	165015.85
Cervus nippon	53000
Dama dama	52375
Muntiacus crinifrons	36140.99
Muntiacus gongshanensis	19906.73
Eubalaena glacialis	23000000
Balaenoptera physalus	70000000
Balaenoptera edeni	20000000
Balaenoptera musculus	190000000
Megaptera novaeangliae	30000000
Eschrichtius robustus	28500000
Delphinus delphis	80000
Grampus griseus	387500
Orcinus orca	4300000
Peponocephala electra	206000
Pseudorca crassidens	1360000
Tursiops truncatus	175000
Delphinapterus leucas	1360000
Monodon monoceros	900000
Phocoena phocoena	52500
Phocoena sinus	42500
Mesoplodon densirostris	2300000
Kogia breviceps	431500
Kogia sima	183066.66
Inia geoffrensis	129250
