species	assembly
Lama_glama	Lama_glama_chaku__llama__HLlamGlaCha1__GCA_013239585.1
Vicugna_pacos	Vicugna_pacos__Alpaca__HLvicPaco5__GCF_048564905.1
Vicugna_pacos	Vicugna_pacos_huacaya__alpaca__HLvicPacHua3__GCA_000767525.1
Vicugna_vicugna	Vicugna_vicugna_mensalis__vicugna__HLvicVicMen1__GCA_013265495.1
Hexaprotodon_liberiensis	Hexaprotodon_liberiensis__pygmy_hippopotamus__HLhexLib1__GCA_023065765.1
Eubalaena_glacialis	Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1
Balaenoptera_edeni	Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1
Balaenoptera_musculus	Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2
Balaenoptera_physalus	Balaenoptera_physalus__Fin_whale__HLbalPhy3__GCA_023338255.1
Balaenoptera_ricei	Balaenoptera_ricei__Rices_whale__HLbalRic2__GCF_028023285.1
Megaptera_novaeangliae	Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1
Eschrichtius_robustus	Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1
Delphinus_delphis	Delphinus_delphis__saddleback_dolphin__HLdelDel2__GCA_030062865.1
Delphinus_delphis	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2
Grampus_griseus	Grampus_griseus__Rissos_dolphin__HLgraGris2A__GCA_964374135.1
Orcinus_orca	Orcinus_orca__killer_whale__HLorcOrc3__GCA_937001465.1
Peponocephala_electra	Peponocephala_electra__Melon-headed_whale__HLpepElec2A__GCA_051427945.1
Pseudorca_crassidens	Pseudorca_crassidens__False_killer_whale__HLpseCra2A__GCF_039906515.1
Tursiops_truncatus	Tursiops_truncatus__common_bottlenose_dolphin__HLturTru5__GCF_011762595.1
Inia_geoffrensis	Inia_geoffrensis__Boutu__HLiniGeo2A__GCA_036417435.1
Inia_geoffrensis	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1
Delphinapterus_leucas	Delphinapterus_leucas__beluga_whale__HLdelLeu4__GCA_035221355.1
Monodon_monoceros	Monodon_monoceros__narwhal__HLmonMon2__GCA_005190385.3
Neophocaena_sunameri	Neophocaena_sunameri__East_Asian_finless_porpoise__HLneoAsiSun2__GCA_026225855.1
Phocoena_phocoena	Phocoena_phocoena__harbor_porpoise__HLphoPho3__GCA_963924675.1
Phocoena_sinus	Phocoena_sinus__vaquita__HLphoSin1__GCA_008692025.1
Kogia_breviceps	Kogia_breviceps__pygmy_sperm_whale__HLkogBre3__GCF_026419965.1
Kogia_sima	Kogia_sima__dwarf_sperm_whale__HLkogSim1
Mesoplodon_densirostris	Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1
Canis_aureus	Canis_aureus__Golden_jackal__HLcanAure1__GCF_053574225.1
